//Want13 - Scripts
"!SS_SCRIP16" "wanted/nagatow/niscript0.wav"
"!SS_SCRIP17" "wanted/nagatow/niscript1.wav"
"!SS_SCRIP18" "wanted/nagatow/niscript2.wav"
"!SS_SCRIP19" "wanted/masala/nbscript0.wav"
"!SS_SCRIP20" "wanted/masala/nbscript1.wav"

// When USED and told to follow
"!SC_OK0" "wanted/masala/nbok.wav"
"!SC_OK1" "wanted/masala/nbifollow.wav"
"!SC_OK2" "wanted/masala/nbok.wav"
"!SC_OK3" "wanted/masala/nbifollow.wav"
"!SC_OK4" "wanted/masala/nbok.wav"
"!SC_OK5" "wanted/masala/nbifollow.wav"
"!SC_OK6" "wanted/masala/nbok.wav"
"!SC_OK7" "wanted/masala/nbifollow.wav"
"!SC_OK8" "wanted/masala/nbok.wav"

//Told to stay
"!SC_WAIT0" "wanted/masala/nbiwaithere.wav"
"!SC_WAIT1" "wanted/masala/nbokiwait.wav"
"!SC_WAIT2" "wanted/masala/nbiwaithere.wav"
"!SC_WAIT3" "wanted/masala/nbokiwait.wav"
"!SC_WAIT4" "wanted/masala/nbiwaithere.wav"
"!SC_WAIT5" "wanted/masala/nbokiwait.wav"
"!SC_WAIT6" "wanted/masala/nbiwaithere.wav"

//Cant follow player
"!SC_STOP0" "wanted/masala/nbinotgo.wav"
"!SC_STOP1" "wanted/masala/nbtooshort.wav"
"!SC_STOP2" "wanted/masala/nbinotgo.wav"
"!SC_STOP3" "wanted/masala/nbtooshort.wav"

//Player is staring
"!SC_STARE0" "wanted/masala/nbtotempole.wav"
"!SC_STARE1" "wanted/masala/nbtotempole.wav"
"!SC_STARE2" "wanted/masala/nbtotempole.wav"

//post masacre
"!SC_HELLO0" "wanted/masala/nbpaleface.wav"
"!SC_HELLO1" "wanted/masala/nbhellohat.wav"
"!SC_HELLO2" "wanted/masala/nbpaleface.wav"
"!SC_HELLO3" "wanted/masala/nbhellohat.wav"
"!SC_HELLO4" "wanted/masala/nbpaleface.wav"
"!SC_HELLO5" "wanted/masala/nbhellohat.wav"
"!SC_HELLO6" "wanted/masala/nbpaleface.wav"
"!SC_HELLO7" "wanted/masala/nbhellohat.wav"
"!SC_HELLO8" "wanted/masala/nbpaleface.wav"

//Generic Answers
"!SC_ANSWER0" "wanted/masala/nbasktika.wav"
"!SC_ANSWER1" "wanted/masala/nbuhhuh.wav"
"!SC_ANSWER2" "wanted/masala/nbummerrr.wav"
"!SC_ANSWER3" "wanted/masala/nbno.wav"
"!SC_ANSWER4" "wanted/masala/nbsoundpale.wav"
"!SC_ANSWER5" "wanted/masala/nbasktika.wav"
"!SC_ANSWER6" "wanted/masala/nbuhhuh.wav"
"!SC_ANSWER7" "wanted/masala/nbummerrr.wav"
"!SC_ANSWER8" "wanted/masala/nbno.wav"
"!SC_ANSWER9" "wanted/masala/nbsoundpale.wav"
"!SC_ANSWER10" "wanted/masala/nbasktika.wav"
"!SC_ANSWER11" "wanted/masala/nbuhhuh.wav"
"!SC_ANSWER12" "wanted/masala/nbummerrr.wav"
"!SC_ANSWER13" "wanted/masala/nbno.wav"
"!SC_ANSWER14" "wanted/masala/nbsoundpale.wav"
"!SC_ANSWER15" "wanted/masala/nbasktika.wav"
